step,temp,weight,cost,best_weight,sat_clauses,sat_clauses_best
208,276236,2647,-2439,3391,62,61
209,276236,2463,-2623,3391,63,61
210,276236,2647,-2439,3391,62,61
211,276236,2170,-2916,3391,62,61
212,276236,2440,-2646,3391,62,61
213,276236,2166,-2920,3391,61,61
214,276236,2148,-2938,3391,63,61
215,276236,2422,-2664,3391,62,61
216,276236,1949,-3137,3391,59,61
217,276236,2198,-2888,3391,61,61
218,276236,2425,-2661,3391,63,61
219,276236,2443,-2643,3391,64,61
220,276236,2425,-2661,3391,59,61
221,276236,2217,-2869,3391,60,61
222,276236,1968,-3118,3391,59,61
223,276236,2217,-2869,3391,60,61
224,276236,2235,-2851,3391,65,61
225,276236,2217,-2869,3391,60,61
226,276236,2509,-2577,3391,61,61
227,276236,2695,-2391,3391,60,61
228,276236,3172,-1914,3391,64,61
229,276236,2695,-2391,3391,60,61
230,276236,2511,-2575,3391,59,61
231,276236,2719,-2367,3391,58,61
232,276236,2737,-2349,3391,61,61
233,276236,3214,-1872,3391,61,61
234,276236,2922,-2164,3391,61,61
235,276236,2648,-2438,3391,58,61
236,276236,2630,-2456,3391,56,61
237,276236,2612,-2474,3391,58,61
238,276236,3085,-2001,3391,62,61
239,276236,3282,-1804,3391,61,61
240,276236,3085,-2001,3391,62,61
241,276236,3454,-1632,3391,63,61
242,276236,3227,-1859,3454,62,63
243,276236,2858,-2228,3454,62,63
244,276236,2601,-2485,3454,64,63
245,276236,2619,-2467,3454,61,63
246,276236,2911,-2175,3454,61,63
247,276236,2619,-2467,3454,61,63
248,276236,2911,-2175,3454,61,63
249,276236,2893,-2193,3454,65,63
250,276236,2911,-2175,3454,64,63
251,276236,2725,-2361,3454,64,63
252,276236,2248,-2838,3454,65,63
253,276236,2185,-2901,3454,66,63
254,276236,2369,-2717,3454,67,63
255,276236,2626,-2460,3454,66,63
256,276236,2399,-2687,3454,65,63
257,276236,2768,-2318,3454,64,63
258,276236,2965,-2121,3454,65,63
259,276236,2781,-2305,3454,64,63
260,276236,2763,-2323,3454,62,63
261,276236,2990,-2096,3454,62,63
262,276236,2621,-2465,3454,63,63
263,276236,2793,-2293,3454,63,63
264,276236,3270,-1816,3454,65,63
265,276236,3073,-2013,3454,65,63
266,276236,2625,-2461,3454,61,63
267,276236,2643,-2443,3454,56,63
268,276236,2394,-2692,3454,59,63
269,276236,2842,-2244,3454,61,63
270,276236,2550,-2536,3454,61,63
271,276236,2736,-2350,3454,61,63
272,276236,2718,-2368,3454,64,63
273,276236,2546,-2540,3454,64,63
274,276236,2820,-2266,3454,64,63
275,276236,2838,-2248,3454,62,63
276,276236,3065,-2021,3454,62,63
277,276236,2795,-2291,3454,63,63
278,276236,2609,-2477,3454,64,63
279,276236,2858,-2228,3454,63,63
280,276236,3227,-1859,3454,61,63
281,276236,3399,-1687,3454,62,63
282,276236,3596,-1490,3454,62,63
283,276236,3369,-1717,3596,61,62
284,276236,3387,-1699,3596,64,62
285,276236,3130,-1956,3596,66,62
286,276236,3112,-1974,3596,63,62
287,276236,3175,-1911,3596,61,62
288,276236,3157,-1929,3596,64,62
289,276236,3175,-1911,3596,63,62
290,276236,3652,-1434,3596,65,62
291,276236,3455,-1631,3652,65,65
292,276236,3392,-1694,3652,68,65
293,276236,3576,-1510,3652,66,65
294,276236,3404,-1682,3652,66,65
295,276236,3386,-1700,3652,69,65
296,276236,3159,-1927,3652,69,65
297,276236,2910,-2176,3652,69,65
298,270711,2462,-2624,3652,69,65
299,270711,1985,-3101,3652,66,65
300,270711,2157,-2929,3652,65,65
301,270711,1684,-3402,3652,63,65
302,270711,1476,-3610,3652,64,65
303,270711,1949,-3137,3652,66,65
304,270711,1580,-3506,3652,66,65
305,270711,1396,-3690,3652,67,65
306,270711,1414,-3672,3652,65,65
307,270711,1432,-3654,3652,67,65
308,270711,1640,-3446,3652,66,65
309,270711,1703,-3383,3652,63,65
310,270711,1640,-3446,3652,66,65
311,270711,1824,-3262,3652,65,65
312,270711,1550,-3536,3652,62,65
313,270711,1736,-3350,3652,61,65
314,270711,1799,-3287,3652,60,65
315,270711,2247,-2839,3652,58,65
316,270711,1799,-3287,3652,60,65
317,270711,2026,-3060,3652,58,65
318,270711,1840,-3246,3652,58,65
319,270711,1656,-3430,3652,60,65
320,270711,2025,-3061,3652,63,65
321,270711,1656,-3430,3652,60,65
322,270711,1926,-3160,3652,60,65
323,270711,2153,-2933,3652,60,65
324,270711,1926,-3160,3652,60,65
325,270711,1754,-3332,3652,61,65
326,270711,2003,-3083,3652,62,65
327,270711,1776,-3310,3652,62,65
328,270711,1527,-3559,3652,61,65
329,270711,1819,-3267,3652,61,65
330,270711,2046,-3040,3652,61,65
331,270711,2028,-3058,3652,63,65
332,270711,2255,-2831,3652,63,65
333,270711,2237,-2849,3652,65,65
334,270711,2421,-2665,3652,66,65
335,270711,2898,-2188,3652,68,65
336,270711,2425,-2661,3652,66,65
337,270711,2443,-2643,3652,62,65
338,270711,2461,-2625,3652,62,65
339,270711,2277,-2809,3652,63,65
340,270711,2050,-3036,3652,63,65
341,270711,2277,-2809,3652,63,65
342,270711,2534,-2552,3652,62,65
343,270711,2516,-2570,3652,61,65
344,270711,2039,-3047,3652,58,65
345,270711,2313,-2773,3652,59,65
346,270711,2086,-3000,3652,59,65
347,270711,1829,-3257,3652,61,65
348,270711,1537,-3549,3652,61,65
349,270711,1555,-3531,3652,63,65
350,270711,1347,-3739,3652,64,65
351,270711,1544,-3542,3652,63,65
352,270711,1347,-3739,3652,64,65
353,270711,1519,-3567,3652,63,65
354,270711,1888,-3198,3652,64,65
355,270711,2361,-2725,3652,65,65
356,270711,2545,-2541,3652,65,65
357,270711,2993,-2093,3652,65,65
358,270711,2975,-2111,3652,62,65
359,270711,3232,-1854,3652,62,65
360,270711,2755,-2331,3652,60,65
361,270711,2498,-2588,3652,60,65
362,270711,2271,-2815,3652,59,65
363,270711,2528,-2558,3652,58,65
364,270711,3005,-2081,3652,60,65
365,270711,2748,-2338,3652,61,65
366,270711,2379,-2707,3652,59,65
367,270711,2361,-2725,3652,62,65
368,270711,2588,-2498,3652,64,65
369,270711,2111,-2975,3652,62,65
370,270711,2480,-2606,3652,62,65
371,270711,2737,-2349,3652,63,65
372,270711,2674,-2412,3652,63,65
373,270711,2305,-2781,3652,64,65
374,270711,2133,-2953,3652,64,65
375,270711,2151,-2935,3652,67,65
376,270711,2628,-2458,3652,68,65
377,270711,2371,-2715,3652,68,65
378,270711,1898,-3188,3652,66,65
379,270711,1671,-3415,3652,64,65
380,270711,1898,-3188,3652,63,65
381,270711,1421,-3665,3652,61,65
382,270711,973,-4113,3652,62,65
383,270711,1036,-4050,3652,62,65
384,270711,1222,-3864,3652,61,65
385,270711,1419,-3667,3652,60,65
386,270711,1896,-3190,3652,61,65
387,270711,2344,-2742,3652,62,65
388,270711,2601,-2485,3652,61,65
389,270711,3074,-2012,3652,64,65
390,270711,2817,-2269,3652,64,65
391,270711,2590,-2496,3652,64,65
392,270711,2839,-2247,3652,65,65
393,270711,2569,-2517,3652,65,65
394,270711,3046,-2040,3652,66,65
395,270711,3338,-1748,3652,67,65
396,270711,3154,-1932,3652,67,65
397,265297,3411,-1675,3652,67,65
398,265297,3681,-1405,3652,67,65
399,265297,3865,-1221,3681,67,67
400,265297,4092,-994,3865,66,67
401,265297,3843,-1243,4092,66,66
